model,asset,vs_baseline,loss,dm_statistic,p_value,mean_loss_diff,better,n_obs,note
egarch11,BTC,vol_climatology,qlike,-3.281237959210373,0.0010483131312716107,-0.2821873064827703,a,2403,
egarch11_mz,BTC,vol_climatology,qlike,-2.9818886688552024,0.0028935630469974407,-0.25647296522614255,a,2403,
garch11,BTC,vol_climatology,qlike,-2.491737642635144,0.012778960789017088,-0.23818473604615556,a,2403,
garch11_mz,BTC,vol_climatology,qlike,-2.491737642635144,0.012778960789017088,-0.23818473604615556,a,2403,
vol_persistence,BTC,vol_climatology,qlike,1.7154889565652336,0.08638458114091987,0.16988209069063973,b,2403,
egarch11,ETH,vol_climatology,qlike,-5.571855866147342,2.8016674699922132e-08,-0.22340558262603022,a,2403,
egarch11_mz,ETH,vol_climatology,qlike,-4.918501287615819,9.310701809595203e-07,-0.19683628852532467,a,2403,
garch11,ETH,vol_climatology,qlike,-4.682384711014308,2.9934821525027283e-06,-0.22028446965394166,a,2403,
garch11_mz,ETH,vol_climatology,qlike,-4.4745100724435485,8.015723858876331e-06,-0.21415243707884057,a,2403,
vol_persistence,ETH,vol_climatology,qlike,3.117865927569407,0.0018432304394326766,0.24791599141190412,b,2403,
egarch11,LTC,vol_climatology,qlike,-5.765723596192419,9.174453673550823e-09,-0.23826910367970397,a,2403,
egarch11_mz,LTC,vol_climatology,qlike,-6.1120547026281375,1.1443308767729419e-09,-0.23253393039319994,a,2403,
garch11,LTC,vol_climatology,qlike,-5.367925519066758,8.728875923351041e-08,-0.2561226859396957,a,2403,
garch11_mz,LTC,vol_climatology,qlike,-5.950404201400793,3.0658502567770306e-09,-0.2701621830269456,a,2403,
vol_persistence,LTC,vol_climatology,qlike,-0.15056455977710276,0.8803318619264305,-0.01780655464869258,a,2403,
