model,asset,n_folds,n_obs,rmse,mae,qlike,mz_alpha,mz_beta,mz_r2,mz_joint_p,rmse_log,mae_log
egarch11,BTC,27,2403.0,0.003568004755210535,0.000911253133371054,0.8328682650853036,0.00015006813221504436,1.2989118939276039,0.03666817018278856,9.607154728061995e-08,1.190090062660712,0.9252194730169149
egarch11,ETH,27,2403.0,0.005291407521195544,0.0014285974702013444,0.7019633781756864,-0.0004917995674331323,2.020926850974686,0.11107039329683355,4.832055123740364e-28,1.0571326297171804,0.828092512355641
egarch11,LTC,27,2403.0,0.00891905352764103,0.0019053915200373593,0.8174806199696545,-0.0015255216293840101,2.85930103476799,0.0776498134090593,4.929946763377884e-28,1.0222456331672602,0.8080546899051734
egarch11_mz,BTC,27,2403.0,0.00356789668120251,0.0009112835161332393,0.8585826063419315,0.00017627862268872153,1.2750393738615362,0.03686050030842425,8.129748695149475e-08,1.1887146055939166,0.9248744284203667
egarch11_mz,ETH,27,2403.0,0.005227812462995279,0.0014281226959275512,0.728532672276392,0.000681157799856602,1.0241690569261757,0.10265868650015697,1.5947181041339718e-10,1.031532275711992,0.8057053119779215
egarch11_mz,LTC,27,2403.0,0.008773453309175226,0.0018509156991493587,0.8232157932561585,0.0011480402541009765,0.9613997549032028,0.07413369087415778,6.909216067887934e-09,0.9920474179751808,0.7803002483805457
garch11,BTC,27,2403.0,0.003621546845478396,0.0013845415675110258,0.8768708355219184,-0.0054090873057193855,4.0466411593736415,0.025367447528800602,3.402693676168489e-17,1.7185240694918549,1.404041859629106
garch11,ETH,27,2403.0,0.0052532359999476076,0.001621711644832672,0.7050844911477749,6.999830243813712e-05,1.1866361800909995,0.0834218141133477,0.00015952136135109434,1.2288348940794724,0.9639240590468561
garch11,LTC,27,2403.0,0.008944226922103293,0.0019250694776986076,0.7996270377096627,-0.0007535721265263684,2.231351097600404,0.0540467690855323,8.472314406066934e-18,1.0418637827030957,0.8247382617435599
garch11_mz,BTC,27,2403.0,0.003621546845478396,0.0013845415675110258,0.8768708355219184,-0.0054090873057193855,4.0466411593736415,0.025367447528800602,3.402693676168489e-17,1.7185240694918549,1.404041859629106
garch11_mz,ETH,27,2403.0,0.005490743013374387,0.0016622553749367987,0.711216523722876,0.0011402338779148175,0.4901362425705317,0.0789745419081701,4.1410728154037877e-48,1.2112131784098399,0.9459888349242395
garch11_mz,LTC,27,2403.0,0.00889899029083938,0.0019276663362583462,0.7855875406224128,0.0013284954972757415,0.7746708116048467,0.04752307960680169,6.2868723019620295e-09,1.0149489607837372,0.8005252643136327
vol_climatology,BTC,27,2403.0,0.003598921799774658,0.0008865106989237685,1.1150555715680739,0.0005125070911038417,0.9437288799163628,0.02396461621369006,6.554049596135394e-10,1.1754961521988991,0.9117919195710217
vol_climatology,ETH,27,2403.0,0.005429832004000512,0.001462191311917864,0.9253689608017167,0.0006878316985665901,1.1461954362802376,0.03864085463546507,3.939459635998287e-14,1.08176609023956,0.8399534992543647
vol_climatology,LTC,27,2403.0,0.009017631542538955,0.001965229521634589,1.0557497236493585,0.0006930714705174051,1.3962474487922754,0.027460899978719477,7.180141902707371e-12,1.0628416395387261,0.830780493688838
vol_persistence,BTC,27,2403.0,0.003887032546845297,0.0010837279413466613,1.2849376622587136,0.0006675788481661576,0.4206049594375093,0.17691461321623003,4.481336425972953e-179,1.2701675927950344,1.0213253574448669
vol_persistence,ETH,27,2403.0,0.005978228776115315,0.0017964378525711347,1.1732849522136208,0.0011908397289138659,0.4021493104913993,0.16172639810255696,6.875804576617974e-186,1.1868918106758413,0.9443113898934992
vol_persistence,LTC,27,2403.0,0.011733396617830306,0.0025427827601747196,1.037943169000666,0.0022050377025505893,0.15895187341399808,0.02526590539430562,3.3278154082449848e-285,1.1366536992377698,0.8909529334520399
egarch11,all,27,7209.0,0.006331907751420463,0.0014150807078699191,0.7841040877435481,-0.0006583255471716106,2.243146073872141,0.08449236253786463,6.9790427821212995e-68,1.0922194359172324,0.8537888917592431
egarch11_mz,all,27,7209.0,0.006245889123902814,0.001396773970403383,0.8034436906248271,0.0007096330949803253,1.0164364627483187,0.0828367743080134,3.0417778975425e-22,1.0741290004617825,0.8369599962596114
garch11,all,27,7209.0,0.006343271639020814,0.001643774230014102,0.7938607881264521,-0.0004894320318659941,1.5217660188876458,0.049442280985213305,1.0667646999309937e-14,1.3600049406820254,1.0642347268065073
garch11_mz,all,27,7209.0,0.006388945885651969,0.0016581544262353905,0.7912249666224024,0.0008998031322755204,0.6097876680942357,0.048257583315651886,3.3191474310158613e-35,1.3478975893309428,1.050185319622326
vol_climatology,all,27,7209.0,0.006422693940228792,0.0014379771774920738,1.0320580853397163,0.0005191158287490743,1.316464643651409,0.036328144307044785,3.3521246383473566e-32,1.1077968268239997,0.8608419708380747
vol_persistence,all,27,7209.0,0.007927186081477664,0.0018076495180308386,1.1653885944910003,0.0014393473549285942,0.2510802900908796,0.06304220536200356,0.0,1.1991690895542375,0.9521965602634687
