model,asset,vs_baseline,loss,dm_statistic,p_value,mean_loss_diff,better,n_obs,note
cnn,BTC,zero,squared,1.2915746424045107,0.19662875682250128,0.0008619470403632664,b,2403,
cnn_per_asset,BTC,zero,squared,0.34550363865705,0.729746029625103,0.0002275942010386138,b,2403,
dlinear,BTC,zero,squared,6.510783457641998,9.072146330910493e-11,0.01824559537165286,b,2403,
dlinear_per_asset,BTC,zero,squared,6.842924782158788,9.813269220118932e-12,0.025485718503878887,b,2403,
historical_mean,BTC,zero,squared,12.579842695114989,3.4191759681718214e-35,0.07447039673243126,b,2403,
lstm,BTC,zero,squared,1.0870600619846453,0.27711933662973076,0.0008247221433709238,b,2403,
lstm_per_asset,BTC,zero,squared,0.4811825775879017,0.6304305710099277,0.0003537804197976841,b,2403,
majority_class,BTC,zero,squared,2.7851896910750873,0.005391604455796374,0.0005467816958187155,b,2403,
persistence,BTC,zero,squared,12.24237392398931,1.795632398005298e-33,0.051494770194577794,b,2403,
cnn,ETH,zero,squared,1.4312551535505078,0.15248719157833404,0.0008001523599959817,b,2403,
cnn_per_asset,ETH,zero,squared,2.774517125802792,0.005571139691324032,0.0026135088573304814,b,2403,
dlinear,ETH,zero,squared,6.958483290437717,4.4194765548940336e-12,0.020941845053184534,b,2403,
dlinear_per_asset,ETH,zero,squared,8.320580928066063,1.4483756305130686e-16,0.03204832122132413,b,2403,
historical_mean,ETH,zero,squared,14.747057087736238,3.489411714289062e-47,0.10231169970011768,b,2403,
lstm,ETH,zero,squared,1.1272597377442533,0.2597452734238239,0.0008997254521284348,b,2403,
lstm_per_asset,ETH,zero,squared,1.280260725027148,0.20057707564939387,0.0011354720139089565,b,2403,
majority_class,ETH,zero,squared,2.4248824645951155,0.015386646145221988,0.0004761721719907172,b,2403,
persistence,ETH,zero,squared,13.830152277231107,6.484635713692587e-42,0.07017153349249969,b,2403,
cnn,LTC,zero,squared,1.9123618389017674,0.05594862513791491,0.001046723204057343,b,2403,
cnn_per_asset,LTC,zero,squared,2.013320882957005,0.04419223601860014,0.0014586976112215808,b,2403,
dlinear,LTC,zero,squared,6.2984967964480525,3.562822898488312e-10,0.018750587231075568,b,2403,
dlinear_per_asset,LTC,zero,squared,7.789899416565215,9.89816468136375e-15,0.03226545512742611,b,2403,
historical_mean,LTC,zero,squared,14.916737145170794,3.4432564520111105e-48,0.09454608259715469,b,2403,
lstm,LTC,zero,squared,0.04273577211848888,0.9659157155711073,3.38993213812323e-05,b,2403,
lstm_per_asset,LTC,zero,squared,-0.6082157784506568,0.5431018756706216,-0.0005658083399959435,a,2403,
majority_class,LTC,zero,squared,1.2754901319886396,0.2022591547629815,0.0002505877999270983,b,2403,
persistence,LTC,zero,squared,14.137114506940863,1.2004045406043842e-43,0.07406093334798855,b,2403,
