model,asset,n_folds,n_obs,directional_accuracy,base_rate,balanced_accuracy,matthews_corrcoef,roc_auc,brier_score
cnn,BTC,27,12015.0,0.5076154806491885,0.5081148564294632,0.5021109018570947,0.005745610316543388,0.4936936521200481,0.25121606705994554
cnn,ETH,27,12015.0,0.4939658759883479,0.5172700790678318,0.4908401531334091,-0.018614012762826152,0.49439100341221187,0.2512535402710665
cnn,LTC,27,12015.0,0.49712858926342074,0.5126924677486475,0.4968127890469906,-0.006374315511608639,0.4940723601761176,0.25157099598999033
cnn_per_asset,BTC,27,12015.0,0.5087806908031627,0.5081148564294632,0.5060354540049972,0.012826481892920776,0.5120410027009011,0.25069264359085514
cnn_per_asset,ETH,27,12015.0,0.5007906783187682,0.5172700790678318,0.4914734929397731,-0.020232165675155612,0.4815464809831609,0.25349255673880605
cnn_per_asset,LTC,27,12015.0,0.4972118185601332,0.5126924677486475,0.4970038927767365,-0.005991072545974568,0.49770585413732293,0.25216568033563685
dlinear,BTC,27,12015.0,0.49621306699958384,0.5081148564294632,0.49475486099851584,-0.010662120564194195,0.499640623549253,0.2749369590151704
dlinear,ETH,27,12015.0,0.5023720349563047,0.5172700790678318,0.500957361222848,0.0019200429999742025,0.49869853247149554,0.27803738692227514
dlinear,LTC,27,12015.0,0.5096962130669996,0.5126924677486475,0.508959347654907,0.017943661905282893,0.5071188738673794,0.27668055054966756
dlinear_per_asset,BTC,27,12015.0,0.5151893466500208,0.5081148564294632,0.5144522464319419,0.029021904518772908,0.5180403707814875,0.28525203237754515
dlinear_per_asset,ETH,27,12015.0,0.5023720349563047,0.5172700790678318,0.4984590950703248,-0.0031621266375399335,0.4998094848392376,0.29748874072838455
dlinear_per_asset,LTC,27,12015.0,0.5150228880565959,0.5126924677486475,0.5149702080583806,0.029931128706880302,0.5189941441990973,0.2954982757726844
historical_mean,BTC,27,2403.0,0.5172700790678318,0.5081148564294632,0.5157782378594562,0.0321025533847061,0.5035808766773234,0.3244703967324313
