model,cost_bps,run_type,total_return,annual_return,annual_vol,sharpe,sortino,max_drawdown,max_drawdown_days,max_drawdown_unrecovered,calmar,hit_rate,avg_win,avg_loss,win_loss_ratio,annual_turnover,n_periods,exposure
arima,0.0,strategy,0.0,0.0,0.0,,,0.0,0.0,False,,,,,,0.0,2403.0,0.0
arima,5.0,strategy,0.0,0.0,0.0,,,0.0,0.0,False,,,,,,0.0,2403.0,0.0
arima,20.0,strategy,0.0,0.0,0.0,,,0.0,0.0,False,,,,,,0.0,2403.0,0.0
arima,,buy_and_hold,6.035551003576172,0.34492803940437566,0.7038738525480865,0.7819133561112911,1.1036649767080824,-0.7761957166740102,1346.0,False,0.44438281736774893,0.521431543903454,0.025693785937738096,-0.024844286707364376,1.03419294103227,0.15189346650020807,2403.0,1.0
historical_mean,0.0,strategy,3.6167444208932675,0.2615610519595888,0.643806893298535,0.6940036253079099,0.9605386174196345,-0.7459478697507087,1448.0,True,0.35064253490931063,0.5078423060618906,0.02375163077476579,-0.021974926699595814,1.080851422143886,53.92218060757387,2403.0,0.9816895547232626
historical_mean,5.0,strategy,3.2238553532251935,0.2446324356446845,0.6438420125489511,0.673028109924043,0.930972183798794,-0.746226682850964,1448.0,True,0.32782590232510134,0.5074183976261127,0.023735727667577172,-0.02199320331166196,1.079230129927969,53.92218060757387,2403.0,0.9816895547232626
historical_mean,20.0,strategy,2.234226039218011,0.19517304136222147,0.6439740924330767,0.6100899740476152,0.8424568603049366,-0.7470620821162641,1448.0,True,0.26125411265599074,0.5036032217041119,0.02380979465285415,-0.021937209459993213,1.0853611393133644,53.92218060757387,2403.0,0.9816895547232626
historical_mean,,buy_and_hold,6.035551003576172,0.34492803940437566,0.7038738525480865,0.7819133561112911,1.1036649767080824,-0.7761957166740102,1346.0,False,0.44438281736774893,0.521431543903454,0.025693785937738096,-0.024844286707364376,1.03419294103227,0.15189346650020807,2403.0,1.0
lightgbm,0.0,strategy,0.8720027009875286,0.0999212027018952,0.5778293151362217,0.45527820197690744,0.6524167268737092,-0.7715039553450265,2137.0,True,0.12951482880889334,0.5290875688916106,0.024443292095451936,-0.025243550071344708,0.9682985169030885,309.76140934942435,2403.0,0.6795672076570953
lightgbm,5.0,strategy,0.12455900583564228,0.017990840411573172,0.5777041800318278,0.3213283644532113,0.4582350768444919,-0.8003184593428008,2137.0,True,0.02247960196538107,0.5278628291488059,0.024231622770656012,-0.025408928983088292,0.9536656498502604,309.76140934942435,2403.0,0.6795672076570953
lightgbm,20.0,strategy,-0.7564770966719946,-0.1931005756878882,0.5774423243365704,-0.08085364674004153,-0.1136277220535036,-0.9140726285529908,2137.0,True,-0.21125298981282617,0.5143906919779547,0.02405795343491103,-0.02549187427866439,0.9437498856271431,309.76140934942435,2403.0,0.6795672076570953
lightgbm,,buy_and_hold,6.035551003576172,0.34492803940437566,0.7038738525480865,0.7819133561112911,1.1036649767080824,-0.7761957166740102,1346.0,False,0.44438281736774893,0.521431543903454,0.025693785937738096,-0.024844286707364376,1.03419294103227,0.15189346650020807,2403.0,1.0
lightgbm_per_asset,0.0,strategy,-0.11825507387329592,-0.018934611854573125,0.6186891461282693,0.28002495370471187,0.3928388857987519,-0.9023701743106342,2084.0,False,-0.020983197797997063,0.5344827586206896,0.021302654620140162,-0.02334691581355426,0.9124397753545124,353.81051463448466,2403.0,0.9171868497711194
