model,asset,cost_bps,run_type,total_return,annual_return,annual_vol,sharpe,sortino,max_drawdown,max_drawdown_days,max_drawdown_unrecovered,calmar,hit_rate,avg_win,avg_loss,win_loss_ratio,annual_turnover,n_periods,exposure
arima,BTC,0.0,strategy,0.0,0.0,0.0,,,0.0,0.0,False,,,,,,0.0,2403.0,0.0
arima,BTC,5.0,strategy,0.0,0.0,0.0,,,0.0,0.0,False,,,,,,0.0,2403.0,0.0
arima,BTC,20.0,strategy,0.0,0.0,0.0,,,0.0,0.0,False,,,,,,0.0,2403.0,0.0
arima,BTC,,buy_and_hold,7.733396751772348,0.3898232652899021,0.606205968656746,0.8524648763508063,1.2415185031655376,-0.7662925431645935,847.0,False,0.5087133742422065,0.5081148564294632,0.022274962810972364,-0.020131596510650236,1.106467775627642,0.15189346650020807,2403.0,1.0
arima,ETH,0.0,strategy,0.0,0.0,0.0,,,0.0,0.0,False,,,,,,0.0,2403.0,0.0
arima,ETH,5.0,strategy,0.0,0.0,0.0,,,0.0,0.0,False,,,,,,0.0,2403.0,0.0
arima,ETH,20.0,strategy,0.0,0.0,0.0,,,0.0,0.0,False,,,,,,0.0,2403.0,0.0
arima,ETH,,buy_and_hold,13.243327980423626,0.49701463442734006,0.8131953192419099,0.9094840082246685,1.341403309758034,-0.7930253453633336,1383.0,False,0.6267323451050951,0.5172700790678318,0.029974732824367186,-0.027921955862407224,1.0735183800187766,0.15189346650020807,2403.0,1.0
arima,LTC,0.0,strategy,0.0,0.0,0.0,,,0.0,0.0,False,,,,,,0.0,2403.0,0.0
arima,LTC,5.0,strategy,0.0,0.0,0.0,,,0.0,0.0,False,,,,,,0.0,2403.0,0.0
arima,LTC,20.0,strategy,0.0,0.0,0.0,,,0.0,0.0,False,,,,,,0.0,2403.0,0.0
arima,LTC,,buy_and_hold,0.06463238827487028,0.009558414235000257,0.8702923429858902,0.4535805325972062,0.6485886289203336,-0.8944816915936048,1909.0,True,0.010685980858893855,0.5126924677486475,0.031119804467847866,-0.03073151635575482,1.0126348504121352,0.15189346650020807,2403.0,1.0
historical_mean,BTC,0.0,strategy,17.80913959010722,0.5615946567166199,0.578627680222748,1.059762581850531,1.5844165194402557,-0.5221867643063568,734.0,False,1.0754670457084647,0.5157894736842106,0.022424756020750197,-0.020230453484411708,1.108465316312819,35.998751560549316,2403.0,0.9488139825218477
historical_mean,BTC,5.0,strategy,16.730158385872087,0.5476447819848003,0.5785951277414049,1.0442678264358771,1.5605971930138642,-0.5229092697585007,821.0,True,1.047303640720929,0.5157894736842106,0.02240434785748489,-0.020248116527889964,1.1064904642673756,35.998751560549316,2403.0,0.9488139825218477
historical_mean,BTC,20.0,strategy,13.848669690585627,0.5065088354382574,0.5785293365239093,0.9977181386006321,1.489138174196876,-0.5250719999409561,821.0,True,0.9646464399076963,0.5144736842105263,0.022401618437724785,-0.02024752122298055,1.1063881939434332,35.998751560549316,2403.0,0.9488139825218477
historical_mean,BTC,,buy_and_hold,7.733396751772348,0.3898232652899021,0.606205968656746,0.8524648763508063,1.2415185031655376,-0.7662925431645935,847.0,False,0.5087133742422065,0.5081148564294632,0.022274962810972364,-0.020131596510650236,1.106467775627642,0.15189346650020807,2403.0,1.0
historical_mean,ETH,0.0,strategy,12.841076417731589,0.4905146427432361,0.7955007762658568,0.9116367168251028,1.3042222195884976,-0.7532395073962141,569.0,False,0.6512067382642195,0.5129784425868896,0.03066038656124749,-0.027981536610801046,1.0957363417065662,32.35330836454432,2403.0,0.9459009571369122
historical_mean,ETH,5.0,strategy,12.121946107623534,0.47848400238052013,0.7955197643649944,0.9014476081409676,1.2892852645568396,-0.7534025725856758,571.0,False,0.6350973832467338,0.5129784425868896,0.03064387712728523,-0.02800005512931956,1.094422028305125,32.35330836454432,2403.0,0.9459009571369122
historical_mean,ETH,20.0,strategy,10.179730952955051,0.4429453150826388,0.7955980787085246,0.8708598299621036,1.2444862248110946,-0.7538917681540602,572.0,False,0.5875449683808213,0.5125384953805543,0.030621800472936,-0.028031541379704532,1.09240516096296,32.35330836454432,2403.0,0.9459009571369122
historical_mean,ETH,,buy_and_hold,13.243327980423626,0.49701463442734006,0.8131953192419099,0.9094840082246685,1.341403309758034,-0.7930253453633336,1383.0,False,0.6267323451050951,0.5172700790678318,0.029974732824367186,-0.027921955862407224,1.0735183800187766,0.15189346650020807,2403.0,1.0
historical_mean,LTC,0.0,strategy,-0.9254974318493621,-0.32595299932688104,0.8535625168886032,-0.020629159333619456,-0.02837780268790991,-0.9712335560376539,2359.0,True,-0.33560722578065877,0.4857017157941047,0.03181887473395702,-0.030356557178662334,1.048171390012651,43.59342488555972,2403.0,0.9459009571369122
historical_mean,LTC,5.0,strategy,-0.9306790672032361,-0.3332932144474917,0.8535917919868895,-0.033396095945505515,-0.04592330614473297,-0.973011767393121,2359.0,True,-0.34253770161531144,0.4852617685877695,0.03182508649996471,-0.03035520274320095,1.0484227949059899,43.59342488555972,2403.0,0.9459009571369122
historical_mean,LTC,20.0,strategy,-0.9441693390730654,-0.3548537742000649,0.8537059588741261,-0.07168943991954005,-0.09847147966652971,-0.9777168355621235,2359.0,True,-0.362941253840686,0.48394192696876376,0.03184510103571731,-0.030352391688778946,1.0491792990234179,43.59342488555972,2403.0,0.9459009571369122
historical_mean,LTC,,buy_and_hold,0.06463238827487028,0.009558414235000257,0.8702923429858902,0.4535805325972062,0.6485886289203336,-0.8944816915936048,1909.0,True,0.010685980858893855,0.5126924677486475,0.031119804467847866,-0.03073151635575482,1.0126348504121352,0.15189346650020807,2403.0,1.0
lightgbm,BTC,0.0,strategy,0.7424244815647303,0.08800204489016461,0.46238190247852046,0.4098295213501137,0.612836138104583,-0.6303646420606875,1653.0,True,0.13960498260575396,0.5336134453781513,0.02145739598476412,-0.022302479832409912,0.9621080770391409,195.638784852268,2403.0,0.49521431543903455
lightgbm,BTC,5.0,strategy,0.26317560631093717,0.03612386692164926,0.462224496476852,0.304155358775323,0.4530946362111719,-0.65382936819839,1856.0,True,0.05524968543580055,0.5294117647058824,0.021439501781113347,-0.0222800285335066,0.9622744310614685,195.638784852268,2403.0,0.49521431543903455
lightgbm,BTC,20.0,strategy,-0.519038893502334,-0.1052234791942962,0.4618814715987243,-0.013295686136282986,-0.01957881161225622,-0.7963970465396173,2321.0,True,-0.13212439655759295,0.5201680672268908,0.02126261782983571,-0.022388774594274238,0.949699937363855,195.638784852268,2403.0,0.49521431543903455
lightgbm,BTC,,buy_and_hold,7.733396751772348,0.3898232652899021,0.606205968656746,0.8524648763508063,1.2415185031655376,-0.7662925431645935,847.0,False,0.5087133742422065,0.5081148564294632,0.022274962810972364,-0.020131596510650236,1.106467775627642,0.15189346650020807,2403.0,1.0
lightgbm,ETH,0.0,strategy,-0.7997688672734136,-0.2167377170434095,0.6268605985837726,-0.059671991257827996,-0.07915423005697814,-0.8770872471293683,2381.0,True,-0.24711078373647952,0.5230024213075061,0.028574502367750623,-0.03174711061568002,0.9000662363786128,203.5372451102788,2403.0,0.5156054931335831
lightgbm,ETH,5.0,strategy,-0.8568401981013023,-0.25565420576647746,0.6268455068398069,-0.14084863091903826,-0.18639860237988815,-0.8986874013504187,2385.0,True,-0.28447511935998765,0.5181598062953995,0.02865748379099641,-0.03161661546630517,0.906405804933093,203.5372451102788,2403.0,0.5156054931335831
lightgbm,ETH,20.0,strategy,-0.9477138075619964,-0.3612493408643829,0.6269001127859551,-0.3843407591651094,-0.5050556403467449,-0.9621133626887581,2385.0,True,-0.37547481915729963,0.510088781275222,0.028566285837977653,-0.031669122716913294,0.9020232765311642,203.5372451102788,2403.0,0.5156054931335831
lightgbm,ETH,,buy_and_hold,13.243327980423626,0.49701463442734006,0.8131953192419099,0.9094840082246685,1.341403309758034,-0.7930253453633336,1383.0,False,0.6267323451050951,0.5172700790678318,0.029974732824367186,-0.027921955862407224,1.0735183800187766,0.15189346650020807,2403.0,1.0
lightgbm,LTC,0.0,strategy,7.17527796613644,0.3759516462112311,0.6717618398002673,0.8150232896161449,1.2284938744493508,-0.744003273689303,1354.0,False,0.5053091290136301,0.5276381909547738,0.03394260181827769,-0.03169220851536717,1.0710077778839342,194.72742405326676,2403.0,0.4968789013732834
lightgbm,LTC,5.0,strategy,4.932543721161009,0.31053990053557956,0.6717622956988246,0.74255386420635,1.1164143109982443,-0.7529202370554516,1687.0,False,0.41244727562384365,0.5268006700167505,0.03382010584143027,-0.03181999360474319,1.0628570910959874,194.72742405326676,2403.0,0.4968789013732834
lightgbm,LTC,20.0,strategy,1.2655592264888758,0.13226693692979197,0.6718512037745464,0.5250777530462255,0.7833681147976901,-0.778186789446981,1953.0,True,0.16996810884413438,0.5192629815745393,0.03378093557798993,-0.031869824675936596,1.059966156748152,194.72742405326676,2403.0,0.4968789013732834
lightgbm,LTC,,buy_and_hold,0.06463238827487028,0.009558414235000257,0.8702923429858902,0.4535805325972062,0.6485886289203336,-0.8944816915936048,1909.0,True,0.010685980858893855,0.5126924677486475,0.031119804467847866,-0.03073151635575482,1.0126348504121352,0.15189346650020807,2403.0,1.0
lightgbm_per_asset,BTC,0.0,strategy,-0.5580652101852706,-0.11665119409271951,0.5031090754442553,0.00269899571031254,0.0038548921264926093,-0.9130867354837541,2294.0,True,-0.1277547789925101,0.5136031851360319,0.02113601973407252,-0.02230605665304025,0.9475462231102934,201.41073657927592,2403.0,0.6271327507282564
lightgbm_per_asset,BTC,5.0,strategy,-0.6827651142658906,-0.16003145595135504,0.5030249861746703,-0.09740032057048294,-0.13870346627794325,-0.9245929977402737,2294.0,True,-0.1730831364097236,0.5122760451227605,0.021047717448755002,-0.022381494044823452,0.9404071688245077,201.41073657927592,2403.0,0.6271327507282564
lightgbm_per_asset,BTC,20.0,strategy,-0.8827334321273212,-0.27787289796588455,0.5028805551165444,-0.3978138452708114,-0.5614103416068341,-0.9513747703252399,2322.0,True,-0.2920751176435865,0.5029860650298607,0.02101045675618652,-0.02237514883003439,0.9390085811623282,201.41073657927592,2403.0,0.6271327507282564
lightgbm_per_asset,BTC,,buy_and_hold,7.733396751772348,0.3898232652899021,0.606205968656746,0.8524648763508063,1.2415185031655376,-0.7662925431645935,847.0,False,0.5087133742422065,0.5081148564294632,0.022274962810972364,-0.020131596510650236,1.106467775627642,0.15189346650020807,2403.0,1.0
lightgbm_per_asset,ETH,0.0,strategy,-0.8280380148292084,-0.23463749132842449,0.6314096494714919,-0.09284226332270386,-0.12357908335578115,-0.8626918226155459,2379.0,True,-0.271982978367687,0.5209876543209877,0.030102808352991565,-0.03340380747859298,0.9011789560900542,204.14481897627965,2403.0,0.5056179775280899
lightgbm_per_asset,ETH,5.0,strategy,-0.8771683364778204,-0.27276932453839187,0.6313864062039558,-0.1736776474870379,-0.23061007444771808,-0.9012378015558288,2379.0,True,-0.30266076729971103,0.5185185185185185,0.030062722286510267,-0.0334212877018785,0.8995081983277544,204.14481897627965,2403.0,0.5056179775280899
lightgbm_per_asset,ETH,20.0,strategy,-0.9552649359888281,-0.37620447227484255,0.6314120075478447,-0.4161566723089239,-0.5484956828115937,-0.9632729622816111,2379.0,True,-0.39054814886920897,0.5111111111111111,0.029950281841401943,-0.0334832715296432,0.8944849315242851,204.14481897627965,2403.0,0.5056179775280899
lightgbm_per_asset,ETH,,buy_and_hold,13.243327980423626,0.49701463442734006,0.8131953192419099,0.9094840082246685,1.341403309758034,-0.7930253453633336,1383.0,False,0.6267323451050951,0.5172700790678318,0.029974732824367186,-0.027921955862407224,1.0735183800187766,0.15189346650020807,2403.0,1.0
lightgbm_per_asset,LTC,0.0,strategy,-0.02256646790337946,-0.003460963453489785,0.6879639563654396,0.33642793282455535,0.49190555363099153,-0.9328717111218768,2049.0,False,-0.003710010082016112,0.5176933158584535,0.030592349878989906,-0.03085039392578425,0.9916356320306602,154.77944236371204,2403.0,0.6350395339159384
lightgbm_per_asset,LTC,5.0,strategy,-0.24213988705154554,-0.041238991765094046,0.6878630176489777,0.28022357091635974,0.4090887096633699,-0.9358356046955821,2401.0,True,-0.044066491548490155,0.5170380078636959,0.03051117385502611,-0.030865555582526107,0.9885185372233953,154.77944236371204,2403.0,0.6350395339159384
lightgbm_per_asset,LTC,20.0,strategy,-0.6469171903657278,-0.14626044082593104,0.6876352698934992,0.111499297216081,0.16200357094447754,-0.9442180774915644,2401.0,True,-0.15490112328127686,0.5104849279161205,0.030545837676973123,-0.030752600921562574,0.9932765607332914,154.77944236371204,2403.0,0.6350395339159384
lightgbm_per_asset,LTC,,buy_and_hold,0.06463238827487028,0.009558414235000257,0.8702923429858902,0.4535805325972062,0.6485886289203336,-0.8944816915936048,1909.0,True,0.010685980858893855,0.5126924677486475,0.031119804467847866,-0.03073151635575482,1.0126348504121352,0.15189346650020807,2403.0,1.0
majority_class,BTC,0.0,strategy,0.0,0.0,0.0,,,0.0,0.0,False,,,,,,0.0,2403.0,0.0
majority_class,BTC,5.0,strategy,0.0,0.0,0.0,,,0.0,0.0,False,,,,,,0.0,2403.0,0.0
majority_class,BTC,20.0,strategy,0.0,0.0,0.0,,,0.0,0.0,False,,,,,,0.0,2403.0,0.0
majority_class,BTC,,buy_and_hold,7.733396751772348,0.3898232652899021,0.606205968656746,0.8524648763508063,1.2415185031655376,-0.7662925431645935,847.0,False,0.5087133742422065,0.5081148564294632,0.022274962810972364,-0.020131596510650236,1.106467775627642,0.15189346650020807,2403.0,1.0
majority_class,ETH,0.0,strategy,0.0,0.0,0.0,,,0.0,0.0,False,,,,,,0.0,2403.0,0.0
majority_class,ETH,5.0,strategy,0.0,0.0,0.0,,,0.0,0.0,False,,,,,,0.0,2403.0,0.0
majority_class,ETH,20.0,strategy,0.0,0.0,0.0,,,0.0,0.0,False,,,,,,0.0,2403.0,0.0
majority_class,ETH,,buy_and_hold,13.243327980423626,0.49701463442734006,0.8131953192419099,0.9094840082246685,1.341403309758034,-0.7930253453633336,1383.0,False,0.6267323451050951,0.5172700790678318,0.029974732824367186,-0.027921955862407224,1.0735183800187766,0.15189346650020807,2403.0,1.0
majority_class,LTC,0.0,strategy,0.0,0.0,0.0,,,0.0,0.0,False,,,,,,0.0,2403.0,0.0
majority_class,LTC,5.0,strategy,0.0,0.0,0.0,,,0.0,0.0,False,,,,,,0.0,2403.0,0.0
majority_class,LTC,20.0,strategy,0.0,0.0,0.0,,,0.0,0.0,False,,,,,,0.0,2403.0,0.0
majority_class,LTC,,buy_and_hold,0.06463238827487028,0.009558414235000257,0.8702923429858902,0.4535805325972062,0.6485886289203336,-0.8944816915936048,1909.0,True,0.010685980858893855,0.5126924677486475,0.031119804467847866,-0.03073151635575482,1.0126348504121352,0.15189346650020807,2403.0,1.0
persistence,BTC,0.0,strategy,-0.9609055180833109,-0.3888447636600546,0.5873402268357284,-0.5358041590952134,-0.7303542978100173,-0.9751435080668015,2395.0,True,-0.39875645014643024,0.4616463985032741,0.022490741283595916,-0.021086189510855117,1.0666100326954635,384.1385767790262,2403.0,0.8897211818560133
persistence,BTC,5.0,strategy,-0.9792710327843367,-0.4449921243125302,0.5875718117666885,-0.6990362238485995,-0.9478124122151325,-0.9858916606255418,2395.0,True,-0.4513600652937724,0.45743685687558466,0.022430430141011867,-0.0211925027224092,1.0584134604023747,384.1385767790262,2403.0,0.8897211818560133
persistence,BTC,20.0,strategy,-0.9969153315627163,-0.5844462805581827,0.5884532724025925,-1.1875843773767363,-1.5846571086724641,-0.9974242302886087,2395.0,True,-0.5859555671602953,0.43498596819457436,0.02279048086939533,-0.021163070934290335,1.0768985720530813,384.1385767790262,2403.0,0.8897211818560133
persistence,BTC,,buy_and_hold,7.733396751772348,0.3898232652899021,0.606205968656746,0.8524648763508063,1.2415185031655376,-0.7662925431645935,847.0,False,0.5087133742422065,0.5081148564294632,0.022274962810972364,-0.020131596510650236,1.106467775627642,0.15189346650020807,2403.0,1.0
persistence,ETH,0.0,strategy,-0.9922109906534848,-0.5216674600903795,0.7910228820105123,-0.5330341627712867,-0.7390042357959866,-0.996508675872408,2332.0,True,-0.5234951513429404,0.46883468834688347,0.030041135618488687,-0.0288763659155361,1.0403364365986898,385.65751144402833,2403.0,0.9213483146067416
persistence,ETH,5.0,strategy,-0.9958816476901087,-0.5657977363338158,0.7911331609079817,-0.6548285713518044,-0.9040020118232278,-0.99791288336803,2332.0,True,-0.5669810920009435,0.46386630532971995,0.030095884402285476,-0.02887690044298768,1.0422131163870743,385.65751144402833,2403.0,0.9213483146067416
persistence,ETH,20.0,strategy,-0.9993923315807057,-0.6753166781849174,0.7916119411195084,-1.019817525677718,-1.389946401351958,-0.9995571483104722,2332.0,True,-0.6756158758169948,0.45257452574525747,0.03005160100308966,-0.029090438737438145,1.033040487093601,385.65751144402833,2403.0,0.9213483146067416
persistence,ETH,,buy_and_hold,13.243327980423626,0.49701463442734006,0.8131953192419099,0.9094840082246685,1.341403309758034,-0.7930253453633336,1383.0,False,0.6267323451050951,0.5172700790678318,0.029974732824367186,-0.027921955862407224,1.0735183800187766,0.15189346650020807,2403.0,1.0
persistence,LTC,0.0,strategy,-0.9985396979619725,-0.6290653781092708,0.8548070043397217,-0.7255875641638676,-1.0055408243840995,-0.9989161492236722,2402.0,True,-0.62974793089306,0.46961572832886506,0.03147765212875582,-0.03147026511182945,1.0002347300507357,384.1385767790262,2403.0,0.9313358302122348
persistence,LTC,5.0,strategy,-0.999225711628491,-0.6631437170565917,0.8547538709101505,-0.837986232856874,-1.1567443660395698,-0.9993865560931737,2402.0,True,-0.6635507682322337,0.4647006255585344,0.03152855146823739,-0.03140659198383495,1.0038832447807522,384.1385767790262,2403.0,0.9313358302122348
persistence,LTC,20.0,strategy,-0.9998847875292511,-0.7477869786371635,0.8547342920824782,-1.1750738424698417,-1.6029735785561858,-0.9999009835391499,2402.0,True,-0.7478610291894815,0.4544235924932976,0.03140329842448746,-0.03157937928244405,0.9944241824267116,384.1385767790262,2403.0,0.9313358302122348
persistence,LTC,,buy_and_hold,0.06463238827487028,0.009558414235000257,0.8702923429858902,0.4535805325972062,0.6485886289203336,-0.8944816915936048,1909.0,True,0.010685980858893855,0.5126924677486475,0.031119804467847866,-0.03073151635575482,1.0126348504121352,0.15189346650020807,2403.0,1.0
ridge,BTC,0.0,strategy,-0.8083868560968621,-0.22195432869981746,0.5112913539190286,-0.22478516414580565,-0.2983378444165225,-0.904425630722599,2349.0,True,-0.24540915378800693,0.5092869982025164,0.020196863831105222,-0.02188521083825579,0.9228544326290289,231.7894298793175,2403.0,0.694548481065335
ridge,BTC,5.0,strategy,-0.8691876534999927,-0.26578252920126566,0.5112469360420279,-0.3381498375818878,-0.4475528564966074,-0.9197021094084634,2349.0,True,-0.28898762597403677,0.5056920311563811,0.02018631472397034,-0.021879882481361235,0.9225970359377573,231.7894298793175,2403.0,0.694548481065335
ridge,BTC,20.0,strategy,-0.95841054170989,-0.3830747004705535,0.5112348260428916,-0.6782013335829525,-0.8900327103473373,-0.9612264098053236,2349.0,True,-0.39852702397985224,0.49550629119233075,0.020146116556717872,-0.0219067598723251,0.9196301358179648,231.7894298793175,2403.0,0.694548481065335
ridge,BTC,,buy_and_hold,7.733396751772348,0.3898232652899021,0.606205968656746,0.8524648763508063,1.2415185031655376,-0.7662925431645935,847.0,False,0.5087133742422065,0.5081148564294632,0.022274962810972364,-0.020131596510650236,1.106467775627642,0.15189346650020807,2403.0,1.0
ridge,ETH,0.0,strategy,-0.36337187074439936,-0.06629101509048352,0.7138480917192357,0.2701530834612803,0.38003160672540803,-0.8093649655323778,2124.0,True,-0.0819049723098394,0.5254431103487708,0.029065133087558207,-0.030652082987270568,0.9482270128143852,254.87723678734915,2403.0,0.7278401997503121
ridge,ETH,5.0,strategy,-0.5813938032282415,-0.12389784290712447,0.7137128416922159,0.18092564174395373,0.25379744139104743,-0.8364190678706784,2124.0,True,-0.14812890770476878,0.5231560891938251,0.029011494722290067,-0.03067462738952516,0.9457814875429253,254.87723678734915,2403.0,0.7278401997503121
ridge,ETH,20.0,strategy,-0.8811044616141808,-0.27635812434417795,0.7134093661955965,-0.08694723762491285,-0.12093286618320956,-0.9248943183474229,2124.0,True,-0.29879967782477834,0.5180102915951973,0.028760316768060276,-0.030859096754248153,0.9319882884809663,254.87723678734915,2403.0,0.7278401997503121
ridge,ETH,,buy_and_hold,13.243327980423626,0.49701463442734006,0.8131953192419099,0.9094840082246685,1.341403309758034,-0.7930253453633336,1383.0,False,0.6267323451050951,0.5172700790678318,0.029974732824367186,-0.027921955862407224,1.0735183800187766,0.15189346650020807,2403.0,1.0
ridge,LTC,0.0,strategy,0.7252855276597587,0.08636967761910097,0.7344436103718133,0.48592910164931186,0.6848015505295915,-0.9321615745726756,2136.0,True,0.09265526489728439,0.525934861278649,0.0315448903869518,-0.03212969783469793,0.9817985388236495,283.73699542238865,2403.0,0.6899708697461506
