model,asset,n_folds,n_obs,directional_accuracy,base_rate,balanced_accuracy,matthews_corrcoef,roc_auc,brier_score
arima,BTC,27,2403.0,0.48356221389929255,0.5081148564294632,0.4797577919405331,-0.045809413431611226,0.46747520478484944,0.25039402528490384
arima,ETH,27,2403.0,0.4827299209321681,0.5172700790678318,0.4759383582545011,-0.05226885491461792,0.4687380364524093,0.2505632668846059
arima,LTC,27,2403.0,0.4698293799417395,0.5126924677486475,0.4767389954196103,-0.055493228327840774,0.47389704659132503,0.25041889380724836
historical_mean,BTC,27,2403.0,0.5172700790678318,0.5081148564294632,0.5157782378594562,0.0321025533847061,0.5035808766773234,0.3244703967324313
historical_mean,ETH,27,2403.0,0.5118601747815231,0.5172700790678318,0.5080679390795351,0.016531809198036356,0.5049130302105584,0.35231169970011766
historical_mean,LTC,27,2403.0,0.49230129005409906,0.5126924677486475,0.49068429968835603,-0.018777260422942886,0.4855694849556933,0.3445460825971547
lightgbm,BTC,27,12015.0,0.5102788181439867,0.5081148564294632,0.5087986463620982,0.01789615142492673,0.5255351013219034,0.24968033472654866
lightgbm,ETH,27,12015.0,0.514856429463171,0.5172700790678318,0.5130652342774711,0.026258976815590248,0.5189822037894971,0.25055566648810806
lightgbm,LTC,27,12015.0,0.5182688306283811,0.5126924677486475,0.517759476859605,0.03553743628182759,0.5286995242161767,0.24951508609923065
lightgbm_per_asset,BTC,27,12015.0,0.5028714107365793,0.5081148564294632,0.49938013694358874,-0.0013731302661372643,0.5158031127574275,0.2505130196715417
lightgbm_per_asset,ETH,27,12015.0,0.5101955888472742,0.5172700790678318,0.5066834271922768,0.013645340617307123,0.5188971759092296,0.2508822202588099
lightgbm_per_asset,LTC,27,12015.0,0.5152725759467333,0.5126924677486475,0.5194250668204554,0.04108456209584515,0.5229237692282099,0.2507842774231259
majority_class,BTC,27,2403.0,0.48356221389929255,0.5081148564294632,0.4797577919405331,-0.045809413431611226,0.4653348549287636,0.2505467816958187
majority_class,ETH,27,2403.0,0.48356221389929255,0.5172700790678318,0.47544767941853694,-0.055537634906742496,0.4684079118928066,0.25047617217199075
majority_class,LTC,27,2403.0,0.4964627548897212,0.5126924677486475,0.4905144759169097,-0.021462257871193362,0.4828893885789701,0.2502505877999271
persistence,BTC,27,2403.0,0.4660840615896796,0.5081148564294632,0.4659366334493238,-0.0681276772131976,0.45758379514724695,0.30149477019457777
persistence,ETH,27,2403.0,0.472742405326675,0.5172700790678318,0.4720982328626515,-0.0558051598266498,0.46245526673509585,0.3201715334924997
persistence,LTC,27,2403.0,0.47440699126092384,0.5126924677486475,0.4739729474197877,-0.052065474629988964,0.46389130724100835,0.3240609333479886
ridge,BTC,27,2403.0,0.5147732001664586,0.5081148564294632,0.5122132977462927,0.025741133502459556,0.5176306902195227,0.25205855114838716
ridge,ETH,27,2403.0,0.5156054931335831,0.5172700790678318,0.5124077593142287,0.025241261460632523,0.5207943795600188,0.2522494101535139
ridge,LTC,27,2403.0,0.5172700790678318,0.5126924677486475,0.5160074500648797,0.03216676440930008,0.5294827930395821,0.2505728337868939
ridge_per_asset,BTC,27,2403.0,0.5031210986267166,0.5081148564294632,0.499571791449964,-0.0009522092231379438,0.5165296815043008,0.2501510810212564
ridge_per_asset,ETH,27,2403.0,0.5085310029130253,0.5172700790678318,0.5058285016783644,0.011796124773577388,0.5219387188947762,0.25075650417124834
ridge_per_asset,LTC,27,2403.0,0.5093632958801498,0.5126924677486475,0.5116578820411015,0.023696119049974994,0.5220458981667351,0.25137187467990446
zero,BTC,27,2403.0,0.5081148564294632,0.5081148564294632,0.5,0.0,0.5,0.25
zero,ETH,27,2403.0,0.5172700790678318,0.5172700790678318,0.5,0.0,0.5,0.25
zero,LTC,27,2403.0,0.5126924677486475,0.5126924677486475,0.5,0.0,0.5,0.25
arima,all,27,7209.0,0.47870717159106674,0.5126924677486475,0.47736329995083193,-0.045509080155386294,0.47199182412141416,0.2504587286589194
historical_mean,all,27,7209.0,0.507143847967818,0.5126924677486475,0.5048986648847879,0.009951549170914276,0.49852653810275493,0.3404427263432345
lightgbm,all,27,36045.0,0.5144680260785129,0.5126924677486475,0.5130873129859039,0.026324329751458684,0.5239170126296514,0.24991702910462912
lightgbm_per_asset,all,27,36045.0,0.5094465251768623,0.5126924677486475,0.5081492536071955,0.016379732578634253,0.5167034333206408,0.25072650578449257
majority_class,all,27,7209.0,0.48786239422943545,0.5126924677486475,0.4819085696540863,-0.04093426361490349,0.4722120944100022,0.2504245138892455
persistence,all,27,7209.0,0.47107781939242616,0.5126924677486475,0.47069800573750187,-0.05860880506331549,0.4616276064290582,0.315242412345022
ridge,all,27,7209.0,0.5158829241226245,0.5126924677486475,0.5133438739598005,0.02723339139986096,0.5220699276527628,0.251626931696265
ridge_per_asset,all,27,7209.0,0.5070051324732973,0.5126924677486475,0.5052566811213267,0.01061153546843837,0.5183350369622786,0.25075981995746977
zero,all,27,7209.0,0.5126924677486475,0.5126924677486475,0.5,0.0,0.5,0.25
