n_obs,directional_accuracy,base_rate,balanced_accuracy,matthews_corrcoef,roc_auc,brier_score,model,fold,seed,target,test_start,test_end,n_train,fit_seconds
273.0,0.5274725274725275,0.5274725274725275,0.5,0.0,0.5,0.25,zero,0,,dir_1d,2020-01-01,2020-03-31,1648,0.001
273.0,0.4432234432234432,0.5274725274725275,0.44153746770025837,-0.11692506459948321,0.4308247200689061,0.35152281369876154,persistence,0,,dir_1d,2020-01-01,2020-03-31,1648,0.001
273.0,0.46886446886446886,0.5274725274725275,0.4561531007751938,-0.09849236935017056,0.45155038759689925,0.418621327654728,historical_mean,0,,dir_1d,2020-01-01,2020-03-31,1648,0.004
273.0,0.4725274725274725,0.5274725274725275,0.5,0.0,0.5,0.2502902884654228,majority_class,0,,dir_1d,2020-01-01,2020-03-31,1648,0.001
273.0,0.5457875457875457,0.5274725274725275,0.5359334625322998,0.07699970584593759,0.5399440137812231,0.248323928480565,ridge,0,,dir_1d,2020-01-01,2020-03-31,1648,0.237
273.0,0.5091575091575091,0.5274725274725275,0.5052487080103358,0.010590178495319768,0.5448966408268734,0.24883434314778688,ridge_per_asset,0,,dir_1d,2020-01-01,2020-03-31,1648,0.402
273.0,0.5567765567765568,0.5274725274725275,0.5528100775193798,0.10667043865715685,0.5812876830318692,0.24521424632021935,lightgbm,0,42.0,dir_1d,2020-01-01,2020-03-31,1648,1.352
273.0,0.5347985347985348,0.5274725274725275,0.530765503875969,0.06214287022687578,0.5752583979328164,0.24537918827453517,lightgbm,0,43.0,dir_1d,2020-01-01,2020-03-31,1648,0.26
273.0,0.5641025641025641,0.5274725274725275,0.5597545219638242,0.12098342788299732,0.5802110249784669,0.2435977823841302,lightgbm,0,44.0,dir_1d,2020-01-01,2020-03-31,1648,0.2
273.0,0.5567765567765568,0.5274725274725275,0.5536175710594315,0.10786409262704494,0.5885551248923342,0.24407315351820072,lightgbm,0,45.0,dir_1d,2020-01-01,2020-03-31,1648,0.119
273.0,0.5567765567765568,0.5274725274725275,0.5495801033591732,0.10275204476684846,0.5756890611541774,0.24520503830770124,lightgbm,0,46.0,dir_1d,2020-01-01,2020-03-31,1648,0.121
273.0,0.5531135531135531,0.5274725274725275,0.5537790697674418,0.10741367692968475,0.572620585701981,0.24658825170712803,lightgbm_per_asset,0,42.0,dir_1d,2020-01-01,2020-03-31,1648,0.206
273.0,0.5567765567765568,0.5274725274725275,0.5536175710594315,0.10786409262704494,0.5823643410852714,0.24566482165946268,lightgbm_per_asset,0,43.0,dir_1d,2020-01-01,2020-03-31,1648,0.179
273.0,0.5604395604395604,0.5274725274725275,0.5587047803617571,0.11751715690427325,0.5886627906976745,0.2448983332010768,lightgbm_per_asset,0,44.0,dir_1d,2020-01-01,2020-03-31,1648,0.186
273.0,0.5457875457875457,0.5274725274725275,0.5448158914728682,0.08956912190835031,0.5787575366063739,0.24562211980985182,lightgbm_per_asset,0,45.0,dir_1d,2020-01-01,2020-03-31,1648,0.745
273.0,0.5677655677655677,0.5274725274725275,0.5668604651162791,0.13362744673894425,0.5688522825150732,0.24827242705481614,lightgbm_per_asset,0,46.0,dir_1d,2020-01-01,2020-03-31,1648,0.578
273.0,0.4725274725274725,0.5274725274725275,0.5,0.0,0.5048987941429801,0.2507173429858034,arima,0,,dir_1d,2020-01-01,2020-03-31,1648,10.726
273.0,0.5201465201465202,0.5201465201465202,0.5,0.0,0.5,0.25,zero,1,,dir_1d,2020-04-01,2020-06-30,1867,0.001
273.0,0.43223443223443225,0.5201465201465202,0.43116331577249756,-0.13771779594019992,0.38925921943877,0.3480043151180459,persistence,1,,dir_1d,2020-04-01,2020-06-30,1867,0.004
273.0,0.4981684981684982,0.5201465201465202,0.48094290936458445,-0.0730787578305162,0.4534458660359101,0.3669663315311,historical_mean,1,,dir_1d,2020-04-01,2020-06-30,1867,0.01
