n_obs,directional_accuracy,base_rate,balanced_accuracy,matthews_corrcoef,roc_auc,brier_score,model,fold,seed,target,test_start,test_end,n_train,fit_seconds
273.0,0.5274725274725275,0.5274725274725275,0.5,0.0,0.5,0.25,zero,0,,dir_1d,2020-01-01,2020-03-31,1648,0.002
273.0,0.4432234432234432,0.5274725274725275,0.44153746770025837,-0.11692506459948321,,,persistence,0,,dir_1d,2020-01-01,2020-03-31,1648,0.001
273.0,0.46886446886446886,0.5274725274725275,0.4561531007751938,-0.09849236935017056,,,historical_mean,0,,dir_1d,2020-01-01,2020-03-31,1648,0.002
273.0,0.4725274725274725,0.5274725274725275,0.5,0.0,0.5,0.2502902884654228,majority_class,0,,dir_1d,2020-01-01,2020-03-31,1648,0.001
273.0,0.5201465201465202,0.5201465201465202,0.5,0.0,0.5,0.25,zero,1,,dir_1d,2020-04-01,2020-06-30,1867,0.001
273.0,0.4358974358974359,0.5201465201465202,0.4349801096656274,-0.1300397806687453,,,persistence,1,,dir_1d,2020-04-01,2020-06-30,1867,0.001
273.0,0.4981684981684982,0.5201465201465202,0.48094290936458445,-0.0730787578305162,,,historical_mean,1,,dir_1d,2020-04-01,2020-06-30,1867,0.003
273.0,0.47985347985347987,0.5201465201465202,0.5,0.0,0.5,0.25049744870101764,majority_class,1,,dir_1d,2020-04-01,2020-06-30,1867,0.001
276.0,0.5615942028985508,0.5615942028985508,0.5,0.0,0.5,0.25,zero,2,,dir_1d,2020-07-01,2020-09-30,2083,0.001
276.0,0.35507246376811596,0.5615942028985508,0.3442282058117835,-0.31214331991817323,,,persistence,2,,dir_1d,2020-07-01,2020-09-30,2083,0.001
276.0,0.5543478260869565,0.5615942028985508,0.5035190615835777,0.012393943320395888,,,historical_mean,2,,dir_1d,2020-07-01,2020-09-30,2083,0.002
276.0,0.4384057971014493,0.5615942028985508,0.5,0.0,0.5,0.25231464782804996,majority_class,2,,dir_1d,2020-07-01,2020-09-30,2083,0.001
