n_obs,rmse,mae,qlike,mz_alpha,mz_beta,mz_r2,mz_joint_p,rmse_log,mae_log,model,fold,seed,target,test_start,test_end,n_train,fit_seconds
273.0,0.017156677704391856,0.005065930930230672,1.7060808543643486,0.002847671407332927,0.43508598512885094,0.18939778357579362,2.862365376018885e-20,1.2557184836890303,0.9968155293333983,vol_persistence,0,,vol_1d,2020-01-01,2020-03-31,1648,0.003
273.0,0.0165094253023266,0.004188615042897204,3.007847839531168,0.00198100543250206,2.3135375588794775,0.009750783856201095,0.0005790099115209362,1.2237002016806957,0.8996755149277753,vol_climatology,0,,vol_1d,2020-01-01,2020-03-31,1648,0.006
273.0,0.01679134287494955,0.00514846635399346,12.62976608059247,0.003422310950050152,0.4081954505177283,0.07050183704126378,1.1071088579170794e-09,1.7626678327542644,1.3151234432061847,garch11,0,,vol_1d,2020-01-01,2020-03-31,1648,0.861
273.0,0.015291925091417816,0.004112591972047114,12.701372659089156,0.0032120932646713483,0.7601667916265081,0.14338208170613753,0.0017704300927168918,1.7173509606731368,1.2547765761872616,egarch11,0,,vol_1d,2020-01-01,2020-03-31,1648,0.108
273.0,0.0024609464510034276,0.0014653399589059047,1.67297526336263,0.0012814683960859798,0.0885554927194012,0.007819382354292359,1.9032825991918124e-36,1.3396203745166184,1.0861807090340019,vol_persistence,1,,vol_1d,2020-04-01,2020-06-30,1867,0.004
273.0,0.0018249496805799635,0.001027058617612158,0.5647783344545261,0.00016629092812277572,1.127147303500199,0.02738242608614272,0.019829349859198465,1.0289187931193358,0.847503014956753,vol_climatology,1,,vol_1d,2020-04-01,2020-06-30,1867,0.004
273.0,0.0019461542183663067,0.0010990033982164985,3.3492134936559923,0.0011338550775176184,0.31372284810960355,0.013859801461265864,3.48175374813967e-09,1.488892038433233,1.1744154466788315,garch11,1,,vol_1d,2020-04-01,2020-06-30,1867,0.128
273.0,0.0019443937156015047,0.001091139451237735,3.3547405392824894,0.0011373368805888543,0.31738834580316927,0.01199792631439478,5.745310270658275e-09,1.4880900390226144,1.1723965257379576,egarch11,1,,vol_1d,2020-04-01,2020-06-30,1867,0.142
276.0,0.0036190393680084437,0.0017131078058778843,0.9301430245759836,0.0012000463040981882,0.29713573605325744,0.08845822718335405,1.5612394346723213e-26,1.171978568053821,0.9807788780397804,vol_persistence,2,,vol_1d,2020-07-01,2020-09-30,2083,0.003
276.0,0.003182605629709429,0.0013696116618225384,1.5964840265265372,0.0012273535818900167,0.6154559068654928,0.008623084981130624,3.025981123552534e-06,1.2492080810257873,0.9972157990721123,vol_climatology,2,,vol_1d,2020-07-01,2020-09-30,2083,0.006
276.0,0.003229642824474226,0.0014455715791640079,8.208867743363248,0.001360243860037347,0.5856326843363059,0.028325331225680483,3.472753101129876e-09,1.9268526036069618,1.5433111745841415,garch11,2,,vol_1d,2020-07-01,2020-09-30,2083,0.09
276.0,0.002930124362085343,0.0012483258113259728,2.0319877743508856,0.0004391560856489262,1.234239955975089,0.13225834670476144,0.0002462392148570103,1.28111859798169,1.0099340586274852,egarch11,2,,vol_1d,2020-07-01,2020-09-30,2083,0.112
329.0,0.005273098289920873,0.0023640251577120566,0.7768856397893353,0.0019921604800334455,0.31135834565993414,0.09418055479635801,6.305966547490693e-30,1.0369565787243233,0.8312061074311543,vol_persistence,3,,vol_1d,2020-10-01,2020-12-31,2305,0.004
329.0,0.004388393588056146,0.0019692495121933647,0.9239115723720938,0.0009505632451509308,1.2863685461609569,0.1547166148598048,9.33128346104127e-09,1.066754338020534,0.8447576716643024,vol_climatology,3,,vol_1d,2020-10-01,2020-12-31,2305,0.007
329.0,0.0048710064066690975,0.0022421228634228814,12.508361413104527,0.0022770170421015086,0.6237445940912136,0.022107061288849095,3.16443401656484e-13,2.0463426952009,1.5452476801595578,garch11,3,,vol_1d,2020-10-01,2020-12-31,2305,0.136
329.0,0.004848641341223306,0.00224141160045859,12.492056538916328,0.0022763345383904616,0.5781337418789502,0.022498545508060963,1.3348093679969368e-12,2.0478008711339846,1.5483704726534857,egarch11,3,,vol_1d,2020-10-01,2020-12-31,2305,0.118
360.0,0.0112771884109651,0.005209601490174924,0.7226607034184617,0.0038954537065549076,0.3771151389172047,0.1425296196150272,8.469047523862542e-30,1.0079818931538518,0.8035235549262026,vol_persistence,4,,vol_1d,2021-01-01,2021-03-31,2527,0.003
360.0,0.0102186043402421,0.004788848195400254,1.2062513467888427,0.003950170562893801,0.45086692591900157,0.02320159696925206,0.0002412168591122656,1.1200008447691925,0.8894384165868978,vol_climatology,4,,vol_1d,2021-01-01,2021-03-31,2527,0.007
360.0,0.011447721131133879,0.005334163349959151,35.21655954095832,0.0065614521364071605,-0.2477157188506189,0.0010122552731730572,2.9468779116942754e-20,2.786701199623408,2.197952748497475,garch11,4,,vol_1d,2021-01-01,2021-03-31,2527,0.112
360.0,0.011366553865269177,0.005060809812373142,27.97404097976736,0.008425878402015939,-1.3686947169162234,0.024283685126677224,5.53749256525624e-21,2.3155734910143324,1.5913417645366876,egarch11,4,,vol_1d,2021-01-01,2021-03-31,2527,0.137
364.0,0.022111212052453443,0.0074864042717091885,0.9177389583934177,0.0055687678747482015,0.3399645083106493,0.11563981433537973,3.170946363865611e-32,1.0331788317815964,0.8127825538741634,vol_persistence,5,,vol_1d,2021-04-01,2021-06-30,2743,0.003
364.0,0.019544954872947336,0.006322805587342977,1.3387214377373018,0.0030396047054447595,1.4634225961543412,0.03252026292601051,9.071487366790801e-06,1.0968628505522346,0.838718745083922,vol_climatology,5,,vol_1d,2021-04-01,2021-06-30,2743,0.007
