model,asset,vs_baseline,loss,dm_statistic,p_value,mean_loss_diff,better,n_obs,note
egarch11,BTC,vol_ewma,qlike,4.301993292477763,1.7604123722300535e-05,0.1614251467567432,b,2403,
egarch11_mz,BTC,vol_ewma,qlike,4.678672439075167,3.047683577089992e-06,0.1871394880133709,b,2403,
garch11,BTC,vol_ewma,qlike,5.969178888973142,2.737689548946967e-09,0.2054277171933579,b,2403,
garch11_mz,BTC,vol_ewma,qlike,5.969178888973142,2.737689548946967e-09,0.2054277171933579,b,2403,
vol_climatology,BTC,vol_ewma,qlike,5.578137097161221,2.7036289002135057e-08,0.44361245323951354,b,2403,
vol_persistence,BTC,vol_ewma,qlike,8.971492490885334,5.750710654759247e-19,0.6134945439301531,b,2403,
vol_trailing_mean,BTC,vol_ewma,qlike,3.6034899274477428,0.0003203536639544984,0.06944178148109252,b,2403,
egarch11,ETH,vol_ewma,qlike,3.619214270786117,0.0003016036876993815,0.08824396484489491,b,2403,
egarch11_mz,ETH,vol_ewma,qlike,4.242969742254396,2.2894748056550414e-05,0.11481325894560053,b,2403,
garch11,ETH,vol_ewma,qlike,3.689007433807858,0.00023012996532886153,0.09136507781698354,b,2403,
garch11_mz,ETH,vol_ewma,qlike,4.061091560592483,5.04085411587422e-05,0.09749711039208457,b,2403,
vol_climatology,ETH,vol_ewma,qlike,6.839757346622471,1.0028459569189866e-11,0.3116495474709252,b,2403,
vol_persistence,ETH,vol_ewma,qlike,7.859234620654967,5.783118838216339e-15,0.5595655388828293,b,2403,
vol_trailing_mean,ETH,vol_ewma,qlike,5.214078431252011,2.0049945563811638e-07,0.08031410473683989,b,2403,
egarch11,LTC,vol_ewma,qlike,2.9887637579643993,0.002829485869019701,0.12355545479082689,b,2403,
egarch11_mz,LTC,vol_ewma,qlike,2.9737133182655913,0.0029714826094821185,0.12929062807733094,b,2403,
garch11,LTC,vol_ewma,qlike,2.899403655803113,0.0037726621190876226,0.1057018725308352,b,2403,
garch11_mz,LTC,vol_ewma,qlike,2.6735240989367353,0.007556699955938534,0.09166237544358527,b,2403,
vol_climatology,LTC,vol_ewma,qlike,6.206162587332808,6.375548047316933e-10,0.3618245584705309,b,2403,
vol_persistence,LTC,vol_ewma,qlike,4.279987828963493,1.9423484416751504e-05,0.3440180038218383,b,2403,
vol_trailing_mean,LTC,vol_ewma,qlike,3.13182227881257,0.0017581660572393812,0.11992560274384059,b,2403,
