n_obs,rmse,mae,qlike,mz_alpha,mz_beta,mz_r2,mz_joint_p,rmse_log,mae_log,model,fold,seed,target,test_start,test_end,n_train,fit_seconds
273.0,0.017156677704391856,0.005065930930230672,1.7060808543643486,0.002847671407332927,0.43508598512885094,0.18939778357579362,2.862365376018885e-20,1.2557184836890303,0.9968155293333983,vol_persistence,0,,vol_1d,2020-01-01,2020-03-31,1648,0.001
273.0,0.0165094253023266,0.004188615042897204,3.007847839531168,0.00198100543250206,2.3135375588794775,0.009750783856201095,0.0005790099115209362,1.2237002016806957,0.8996755149277753,vol_climatology,0,,vol_1d,2020-01-01,2020-03-31,1648,0.003
273.0,0.016242393416478627,0.004631827308508178,1.5854617648605192,0.003516461505499274,0.46135721840498534,0.002473518006304687,0.12964898073643763,1.3378415666360295,1.049962349448369,vol_trailing_mean,0,,vol_1d,2020-01-01,2020-03-31,1648,0.006
273.0,0.01608888017143894,0.004986061504162383,1.270488877884681,0.0026046621698562486,0.5700463566874928,0.020155997028933115,0.15063781835783152,1.2879947442367063,1.017808169204505,vol_ewma,0,,vol_1d,2020-01-01,2020-03-31,1648,0.007
273.0,0.0158509642192129,0.004288213658344903,1.4128185230768233,0.0019531711162609727,1.167980802772448,0.058782350877020106,0.03669254645688024,1.217642723799359,0.9398207384503116,garch11,0,,vol_1d,2020-01-01,2020-03-31,1648,0.577
273.0,0.016693401763469555,0.005154723528455128,1.4120653099249356,0.003158276677033644,0.4161505868063421,0.07084216828832579,5.1420722406075996e-09,1.2884773822758606,0.9983901012254082,garch11_mz,0,,vol_1d,2020-01-01,2020-03-31,1648,0.1
273.0,0.015726805392785828,0.004134044296740129,1.501496201371582,-0.00019738898982578509,2.4127442485227504,0.12483653487400559,1.6149907884106727e-05,1.2123485341277436,0.9279124295565688,egarch11,0,,vol_1d,2020-01-01,2020-03-31,1648,0.089
273.0,0.015184315588594144,0.004118849146508781,1.4836718884216238,0.002748240418251517,0.7732967129204869,0.1439379002334421,0.010990673331345124,1.225752992300971,0.938043234206485,egarch11_mz,0,,vol_1d,2020-01-01,2020-03-31,1648,0.088
273.0,0.0024609464510034276,0.0014653399589059047,1.67297526336263,0.0012814683960859798,0.0885554927194012,0.007819382354292359,1.9032825991918124e-36,1.3396203745166184,1.0861807090340019,vol_persistence,1,,vol_1d,2020-04-01,2020-06-30,1867,0.002
273.0,0.0018249496805799635,0.001027058617612158,0.5647783344545261,0.00016629092812277572,1.127147303500199,0.02738242608614272,0.019829349859198465,1.0289187931193358,0.847503014956753,vol_climatology,1,,vol_1d,2020-04-01,2020-06-30,1867,0.004
273.0,0.0018276322266327831,0.0012989587518487495,0.5523677322203309,8.65901854503173e-05,0.7655671294679789,0.028982809996678238,0.010654306588239465,1.238450152731661,1.0436257030275555,vol_trailing_mean,1,,vol_1d,2020-04-01,2020-06-30,1867,0.009
