feature,gain,model,fold
px_ret_1,0.060013051938378865,ridge,0
rng_close_position,0.04867397750636806,ridge,0
cal_dow_cos,0.04757331918541142,ridge,0
px_ret_skew_63,0.04349971031269846,ridge,0
cal_is_weekend,0.036355410419702826,ridge,0
cal_moy_sin,0.03146204136172184,ridge,0
aux_splycur_chg_7,0.030766184933690443,ridge,0
xa_market_ret_lag1,0.026247389259070608,ridge,0
xa_ref_ret_lag2,0.022276794674416872,ridge,0
px_ret_skew_21,0.02218422283082668,ridge,0
cal_dom_cos,0.02174723000393599,ridge,0
xa_rel_strength_30,0.020931777073765718,ridge,0
xa_ref_ret_lag1,0.020095654787597242,ridge,0
px_ret_2,0.018126821098652452,ridge,0
xa_rank_ret_lag1,0.016798479454285514,ridge,0
px_ret_kurt_63,0.016650917334270925,ridge,0
rng_garman_klass_5,0.015742115114093593,ridge,0
px_ret_std_63,0.015566227311534243,ridge,0
aux_adractcnt_z63,0.015049054761255962,ridge,0
aux_fng_z_63,0.014205917963225864,ridge,0
vol_zscore_21,0.013273889391747744,ridge,0
vol_log1p_quote_volume,0.012760291508613653,ridge,0
vol_taker_buy_ratio_mean_7,0.011639441437393113,ridge,0
px_ret_std_5,0.01110581849104258,ridge,0
px_ret_mean_10,0.011007407483969228,ridge,0
px_ret_10,0.011007407483969214,ridge,0
aux_txcnt_z63,0.01092715171868793,ridge,0
xa_corr_ref_30,0.01084074362202064,ridge,0
px_cumret_7,0.010607124574154341,ridge,0
xa_corr_ref_90,0.010521879771477106,ridge,0
rng_atr_14_norm,0.010463348366825817,ridge,0
vol_log1p_volume,0.010180275457666893,ridge,0
px_dist_max_21,0.009907385371866207,ridge,0
xa_ref_ret_mean_5,0.009720595528319866,ridge,0
aux_fng_chg_7,0.009546646249030084,ridge,0
xa_excess_ret_lag1,0.009450376631779016,ridge,0
px_ret_std_10,0.009410554575562157,ridge,0
vol_taker_buy_ratio_dev,0.009373969756864506,ridge,0
vol_taker_buy_ratio,0.009373969756864484,ridge,0
aux_splycur_z63,0.00921571818364346,ridge,0
rng_cc_parkinson_ratio_21,0.008796008101407883,ridge,0
px_dist_max_63,0.008628677047609645,ridge,0
rng_parkinson_5,0.00845338781152776,ridge,0
px_cumret_30,0.008349307717382737,ridge,0
tech_stoch_k_14,0.008041143161275051,ridge,0
vol_qv_median_ratio_63,0.007793394169769548,ridge,0
tech_obv_zscore_21,0.006095909446382485,ridge,0
vol_trades_zscore_21,0.006087688176825893,ridge,0
aux_adractcnt_chg_7,0.005728281305528648,ridge,0
px_ret_3,0.005566670214774067,ridge,0
aux_fng,0.005167366875266225,ridge,0
xa_market_ret_mean_5,0.004713192414554142,ridge,0
xa_rel_strength_7,0.004643741756519356,ridge,0
aux_txcnt_chg_7,0.004634030445292664,ridge,0
xa_market_dispersion,0.004599568140652563,ridge,0
cal_dom_sin,0.004118561375217502,ridge,0
xa_ref_vol_21,0.0039247560865420745,ridge,0
tech_stoch_d_14,0.0036382551208223625,ridge,0
rng_tr_norm,0.0034918496664857316,ridge,0
px_ret_mean_21,0.003438855477793692,ridge,0
px_ret_21,0.003438855477793685,ridge,0
px_cumret_90,0.0031427187792741657,ridge,0
cal_moy_cos,0.003066416329405912,ridge,0
