n_obs,directional_accuracy,base_rate,balanced_accuracy,matthews_corrcoef,roc_auc,brier_score,model,fold,seed,target,test_start,test_end,n_train,fit_seconds
273.0,0.5274725274725275,0.5274725274725275,0.5,0.0,0.5,0.25,zero,0,,dir_1d,2020-01-01,2020-03-31,1648,0.001
273.0,0.4432234432234432,0.5274725274725275,0.44153746770025837,-0.11692506459948321,0.4308247200689061,0.35152281369876154,persistence,0,,dir_1d,2020-01-01,2020-03-31,1648,0.001
273.0,0.46886446886446886,0.5274725274725275,0.4561531007751938,-0.09849236935017056,0.45155038759689925,0.418621327654728,historical_mean,0,,dir_1d,2020-01-01,2020-03-31,1648,0.003
273.0,0.4725274725274725,0.5274725274725275,0.5,0.0,0.5,0.2502902884654228,majority_class,0,,dir_1d,2020-01-01,2020-03-31,1648,0.001
273.0,0.5457875457875457,0.5274725274725275,0.5359334625322998,0.07699970584593759,0.5399440137812231,0.248323928480565,ridge,0,,dir_1d,2020-01-01,2020-03-31,1648,0.182
273.0,0.5201465201465202,0.5201465201465202,0.5,0.0,0.5,0.25,zero,1,,dir_1d,2020-04-01,2020-06-30,1867,0.001
273.0,0.43223443223443225,0.5201465201465202,0.43116331577249756,-0.13771779594019992,0.38925921943877,0.3480043151180459,persistence,1,,dir_1d,2020-04-01,2020-06-30,1867,0.001
273.0,0.4981684981684982,0.5201465201465202,0.48094290936458445,-0.0730787578305162,0.4534458660359101,0.3669663315311,historical_mean,1,,dir_1d,2020-04-01,2020-06-30,1867,0.003
273.0,0.47985347985347987,0.5201465201465202,0.5,0.0,0.5,0.25049744870101764,majority_class,1,,dir_1d,2020-04-01,2020-06-30,1867,0.001
273.0,0.5787545787545788,0.5201465201465202,0.5799913987743254,0.16009471879834866,0.642565315557467,0.24095180808859618,ridge,1,,dir_1d,2020-04-01,2020-06-30,1867,0.12
276.0,0.5615942028985508,0.5615942028985508,0.5,0.0,0.5,0.25,zero,2,,dir_1d,2020-07-01,2020-09-30,2083,0.001
276.0,0.35507246376811596,0.5615942028985508,0.3442282058117835,-0.31214331991817323,0.3296720874433484,0.36025169562989917,persistence,2,,dir_1d,2020-07-01,2020-09-30,2083,0.001
276.0,0.5543478260869565,0.5615942028985508,0.5035190615835777,0.012393943320395888,0.4703812316715542,0.32612298251552446,historical_mean,2,,dir_1d,2020-07-01,2020-09-30,2083,0.006
276.0,0.4384057971014493,0.5615942028985508,0.5,0.0,0.5,0.25231464782804996,majority_class,2,,dir_1d,2020-07-01,2020-09-30,2083,0.001
276.0,0.605072463768116,0.5615942028985508,0.6275393228472408,0.26849104891679426,0.6665955745134631,0.23998249323284554,ridge,2,,dir_1d,2020-07-01,2020-09-30,2083,0.108
329.0,0.5866261398176292,0.5866261398176292,0.5,0.0,0.5,0.25,zero,3,,dir_1d,2020-10-01,2020-12-31,2305,0.001
329.0,0.5440729483282675,0.5866261398176292,0.5310499847607437,0.061970252955025326,0.5183252057299603,0.3137599175265287,persistence,3,,dir_1d,2020-10-01,2020-12-31,2305,0.001
329.0,0.5623100303951368,0.5866261398176292,0.5107627247790307,0.026469790079623995,0.48500838159097837,0.34578262376488583,historical_mean,3,,dir_1d,2020-10-01,2020-12-31,2305,0.005
329.0,0.4133738601823708,0.5866261398176292,0.5,0.0,0.5,0.2524675807828982,majority_class,3,,dir_1d,2020-10-01,2020-12-31,2305,0.001
329.0,0.44984802431610943,0.5866261398176292,0.5115437366656508,0.032207034377174946,0.5214873514172509,0.2851255920414485,ridge,3,,dir_1d,2020-10-01,2020-12-31,2305,0.134
360.0,0.5777777777777777,0.5777777777777777,0.5,0.0,0.5,0.25,zero,4,,dir_1d,2021-01-01,2021-03-31,2527,0.001
360.0,0.49722222222222223,0.5777777777777777,0.4843117408906883,-0.03140484064191863,0.49576163967611336,0.33818083576908536,persistence,4,,dir_1d,2021-01-01,2021-03-31,2527,0.001
